slug,title,publication,issue,issue_date,pages,language,type,text_source,publication_proof,status
genitorturers-shock-n-roll-revolution-ritual,Genitorturers: Shock'n'Roll Revolution!,Ritual,43,April/May 2010,18-19,it,Interview,Dropbox author source document,Dropbox scan 20100919235913043.pdf,full text ingested; print metadata verified
swallow-the-sun-eclissi-totale-ritual,Swallow The Sun: Eclissi totale,Ritual,43,April/May 2010,22-23,it,Interview,Dropbox author source document,Dropbox scan 20100919235913043.pdf,full text ingested; print metadata verified
